"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;;;
"1620459298202742786,""2023-01-31T16:29:38.000Z"",""0"",""aku capek kerja :( info loker yg kerjanya pake otak dong 😞"",""1620459298202742786"","""","""",""in"","""",""0"",""2"",""0"",""https://x.com/ajengfeb_/status/1620459298202742786"",""1040935488"",""ajengfeb_""";;;;;;;;;;;;;
"1620407298106757122,""2023-01-31T15:16:32.000Z"",""0"",""@sarasPuput Jangan... Capek kerja itu masih bisa ketawa ketemu temen. Capek di rumah mana bisa 🥲"",""1620440903705051138"","""",""mbaoptik"",""in"","""",""0"",""1"",""0"",""https://x.com/annslrsst/status/1620440903705051138"",""282953766"",""annslrsst""";;;;;;;;;;;;;
"1620382645824946176,""2023-01-31T15:09:28.000Z"",""0"",""@tanyakanrl Jangan nder kasian nanti istrinya jadi kaya tanteku... suaminya gk kerja malah tante ku yang capek kerja dari pagi sampe sore ditambah ngurus kerjaan rumah dan anter jemput anak... udah gitu setiap minggu pasti minta uang ke papaku😀"",""1620439126918201344"","""",""tanyakanrl"",""in"","""",""0"",""1"",""0"",""https://x.com/affhiyhjon/status/1620439126918201344"",""1315518510756294656"",""affhiyhjon""";;;;;;;;;;;;;
"1620437830370758658,""2023-01-31T15:08:10.000Z"",""0"",""Bapakku mulai bisa masak sejak aku kuliah ditambah tiap tahun adek²ku mulai kuliah, di rumah cuma ada ibu sm bapak,bosen makan diluar dan ibukku yg udah capek kerja dan ngurus rumah, bapakku akhirnya belajar masak,yg awalnya cuma bisa nyambel dan goreng tempe walau kdg asin"",""1620438799984758784"","""",""martiiiniblue"",""in"","""",""0"",""1"",""0"",""https://x.com/martiiiniblue/status/1620438799984758784"",""2491011726"",""martiiiniblue""";;;;;;;;;;;;;
"1620436178829979650,""2023-01-31T14:57:45.000Z"",""0"",""Oh jadi gini rasanya punya temen cerita kalau habis capek kerja 😊"",""1620436178829979650"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/txtsiaul/status/1620436178829979650"",""1496797737819410432"",""txtsiaul""";;;;;;;;;;;;;
"1620423765825056769,""2023-01-31T14:08:26.000Z"",""0"",""gue juga capek kerja, tp gue selalu ngerasa capek gue ilang kalo gue udah sama dia, tp beda sama dia yg kalo capek milih buat istrahat ."",""1620423765825056769"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/AdindaPH24/status/1620423765825056769"",""913709774356733952"",""AdindaPH24""";;;;;;;;;;;;;
"1620420789064589313,""2023-01-31T13:56:36.000Z"",""0"",""Capek kerja selama satu bulan full, eh pas gajian uang nya abis buat menuhin kebutuhan, nggak ada sisa nya, nangis banget kek nyesek banget"",""1620420789064589313"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/aquilajjk/status/1620420789064589313"",""1221378247486623744"",""aquilajjk""";;;;;;;;;;;;;
"1620420304869920768,""2023-01-31T13:54:41.000Z"",""0"",""Ladang tu klo ud jenuh kerja.. milih pulang ke rumah it cuma ngerjain hal-hal kecil macem ganti seprei sama nyampulin buku itu id seneng.. 🤭 https://t.co/yJqU2i9lEO"",""1620420304869920768"",""https://pbs.twimg.com/media/FnzjrTBaEAYsjIT.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/Lalasthurrah/status/1620420304869920768"",""409669288"",""Lalasthurrah""";;;;;;;;;;;;;
"1620419850844897281,""2023-01-31T13:52:53.000Z"",""0"",""Gue dr kemaren bawaan nya pengen nangis terus knp yaaaa? Sebelum” nya pernah ngerasain pengen nangis karna capek kerja, tp kali ini gatau kenapa. Sensitif banget"",""1620419850844897281"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/mingcoupslobeu/status/1620419850844897281"",""813609698087702528"",""mingcoupslobeu""";;;;;;;;;;;;;
"1620416648032448521,""2023-01-31T13:40:09.000Z"",""0"",""mau bilang capek kerja tapi malu sama member treasure yg kerjanya 10x lipat dari gue😭😭 bisa gak sih langsung punya duit tanpa kerja😭😭"",""1620416648032448521"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/itskyusahi/status/1620416648032448521"",""1502125262439260161"",""itskyusahi""";;;;;;;;;;;;;
"1620414280175853572,""2023-01-31T13:30:44.000Z"",""0"",""Capek kerja"","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;
"Pengen dinafkahin aja 😭"",""1620414280175853572"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/fitriya_ah/status/1620414280175853572"",""1047393123624579072"",""fitriya_ah"","""","""",""""";;;;;;;;;;;;;
"1620051527208697859,""2023-01-31T01:04:10.000Z"",""0"",""@snowzeaz @kdrama_menfess Jgn harap ada keajaiban dari drakor ini. Isinya capek kerja, ga dihargai, dll mirip2 lah ky hidup sehari2 di kantor."",""1620226398874112000"","""",""snowzeaz"",""in"","""",""0"",""0"",""0"",""https://x.com/0dfs0/status/1620226398874112000"",""37900310"",""0dfs0""";;;;;;;;;;;;;
"1620218106475089920,""2023-01-31T00:31:13.000Z"",""0"",""aaaaa capek kerja maunya nikah sama mingyu"",""1620218106475089920"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/semangkalucu/status/1620218106475089920"",""1251621404"",""semangkalucu""";;;;;;;;;;;;;
"1620188200487780354,""2023-01-30T22:32:23.000Z"",""2"",""Ada yang capek kuliah karena tugas,ada yang capek kerja karena tertekan,ada yang capek cari kerja sana sini belum dapet. Semua punya capeknya masing2"",""1620188200487780354"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/Drenched_insin/status/1620188200487780354"",""1213477971245191172"",""Drenched_insin""";;;;;;;;;;;;;
"1619831282917322753,""2023-01-30T17:45:38.000Z"",""0"",""@Askrlfess Aku gen z kebetulan engga, karena aku tau rasanya capek kerja kayak apa dan aku juga tau rasanya kelimpengan ga punya asset dan dana darurat kayak apa. Bagi aku self reward bisa dari hal"""""""" kecil semacam nonton netflix udah cukup, ga harus dari barang &amp";" hal mahal. Ini opini pribadi"""""",""1620116037193826305"","""",""Askrlfess"",""in"","""",""0"",""0"",""0"",""https://x.com/ellalia_/status/1620116037193826305"",""1333380237984350208"",""ellalia_"""" """"1620111148799655937""";;;;;;;;;;;;
"1620099186204225536,""2023-01-30T16:38:40.000Z"",""0"",""Bukan lagi pengen lanjut kuliah karena capek kerja atau lari tapi lebih karena buat upgrade di karir 🥹."",""1620099186204225536"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/ariarhit/status/1620099186204225536"",""591508369"",""ariarhit""";;;;;;;;;;;;;
"1620096058633392129,""2023-01-30T16:26:19.000Z"",""0"",""TAPI GUA CAPEK KERJA SENDIRIAN"",""1620096075586764800"","""",""lastatumie"",""in"","""",""0"",""0"",""0"",""https://x.com/lastatumie/status/1620096075586764800"",""1309896780872429568"",""lastatumie""";;;;;;;;;;;;;
"1620090481232461824,""2023-01-30T16:04:12.000Z"",""0"",""Kita kadang capek kerja mau pindah akhirnya setelah pindah kita akan ngeluh lagi mau pindah."",""1620090513327284226"","""",""mybooknlife"",""in"","""",""0"",""0"",""0"",""https://x.com/mybooknlife/status/1620090513327284226"",""1594871296143548416"",""mybooknlife""";;;;;;;;;;;;;
